北京,0.16612554112554112
浙江,0.14817813765182186
广东,0.1758169934640523
江苏,0.21349963316214232
上海,0.18872870249017037
四川,0.14596670934699105
湖南,0.16549295774647887
内蒙,0.11214953271028037
陕西,0.1916376306620209
山东,0.18045862412761715
甘肃,0.0
江西,0.255663430420712
河北,0.22058823529411764
吉林,0.15142857142857144
安徽,0.14144736842105263
河南,0.18
山西,0.15902140672782875
湖北,0.13829787234042554
重庆,0.13917525773195877
黑龙,0.1752136752136752
广西,0.172
辽宁,0.17504051863857376
天津,0.15583173996175909
新疆,0.1705685618729097
海南,0.057971014492753624
云南,0.13043478260869565
福建,0.1981279251170047
贵州,0.13151927437641722
宁夏,0.3333333333333333
香港,0.0
青海,0.0
台湾,0.0
西藏,0.0
澳门,0.0
