北京,0.09307359307359307
浙江,0.08987854251012145
广东,0.07124183006535947
江苏,0.07630227439471754
上海,0.061598951507208385
四川,0.07682458386683738
湖南,0.06690140845070422
内蒙,0.14953271028037382
陕西,0.041811846689895474
山东,0.06181455633100698
甘肃,0.0
江西,0.05177993527508091
河北,0.04044117647058824
吉林,0.06571428571428571
安徽,0.11842105263157894
河南,0.07090909090909091
山西,0.11009174311926606
湖北,0.1074468085106383
重庆,0.061855670103092786
黑龙,0.1111111111111111
广西,0.064
辽宁,0.10372771474878444
天津,0.1022944550669216
新疆,0.09364548494983277
海南,0.17391304347826086
云南,0.043478260869565216
福建,0.09828393135725429
贵州,0.09750566893424037
宁夏,0.0
香港,0.0
青海,0.125
台湾,0.0
西藏,0.0
澳门,0.0
